Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_464.jpg,0,0,1,0,99.66999,85.58899,0.0002372401,39.04747,-1.553926E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_509.jpg,0,0,0,0,99.66999,85.58899,0.0002372401,39.04747,-1.553926E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_559.jpg,0,0,0,0,99.66999,85.58899,0.0002372401,39.04747,-1.553926E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_609.jpg,0,0,0,0,99.66999,85.58899,0.0002372171,39.04747,-1.072167E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_659.jpg,0,0,0,0,99.66999,85.58899,0.0002371482,39.04747,3.729788E-08
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_709.jpg,0,0,0,0,99.66999,85.58899,0.0002371023,39.04747,1.336431E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_759.jpg,0,0,0,0,99.66999,85.58899,0.0002368408,39.04747,1.863526E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_809.jpg,0,0,0,0,99.66999,85.58899,0.0002366022,39.04747,1.908927E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_859.jpg,0,0,0,0,99.66999,85.58899,0.0002362443,39.04747,1.976996E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_909.jpg,0,0,0,0,99.66999,85.58899,0.0002360057,39.04747,2.022267E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_14_959.jpg,0,0,0,0,99.66999,85.58899,0.0002356478,39.04747,2.090336E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_15_009.jpg,0,0,0,0,99.66999,85.58899,0.0002354092,39.04747,2.135671E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_15_059.jpg,0,0,0,0,99.66999,85.58899,0.0002350514,39.04747,2.203675E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_15_109.jpg,0,0,0,0,99.66999,85.58899,0.0002350788,39.04747,4.107847E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_15_159.jpg,0,0,0,0,99.66999,85.58899,0.00023501,39.04747,5.553059E-07
C:\Users\steve\Documents\Udacity Robotics\RoboND-Rover-Project\IMG\robocam_2017_05_31_22_42_15_209.jpg,0,0,0,0,99.66999,85.58899,0.0002349641,39.04747,6.516511E-07
